feature1,feature2,feature3,target
0.9373403518365079,0.4710156542416962,0.16050179390460684,0
0.4052190300145394,0.14575490315550654,0.04017447393577522,1
0.0006414954047692101,0.7688635149010116,0.23269816819471933,1
0.044324174024698904,0.7446254377642098,0.5142713278915012,1
0.7285126017794287,0.9758110988268744,0.8648570246500126,1
0.7050781587287649,0.4197489210150025,0.09037903808828318,1
0.6735775017392266,0.43411925162818177,0.32849029090988024,0
0.8592283632147518,0.17951670285382204,0.5141716614277149,1
0.8397817253478709,0.27549965959705036,0.012004703145527706,1
0.016408251015881614,0.3685389820438659,0.0495662133143262,0
0.30069577567525707,0.7991609052928071,0.38722785974625085,1
0.5481000511772733,0.8527216384655744,0.3926739525539825,1
0.06602253884844789,0.7894828936681103,0.03585807838673205,1
0.23701655683188194,0.3647174278232975,0.824746263433612,1
0.3362727053187601,0.32259702693154624,0.6256660961612374,0
0.3311489955609912,0.6225074876989898,0.5697749661786414,0
0.4972443805409601,0.8152639112354989,0.2751958707163682,0
0.5007884162343493,0.665385440770103,0.8510248748452821,1
0.8042661085389734,0.9082434685394394,0.9706677094697981,1
0.7467485634041839,0.8247806287419847,0.8686687991942539,1
0.34471208382019425,0.48539562008906745,0.3473211747085251,1
0.48079900207324444,0.025327518926282155,0.4311691209745767,0
0.9892297566585069,0.3705864649897409,0.5867254771910849,1
0.7892785187441579,0.9050486193673511,0.358011778950754,1
0.9802947030815032,0.9925642888281878,0.7638140318064937,1
0.3030590716054884,0.606618755819007,0.8413060642456003,0
0.4730086418584629,0.49525476295413484,0.028911444547991216,0
0.507213862448579,0.9841795445051067,0.20725681537268237,0
0.45065707995243476,0.8473267379520794,0.3884023995232134,0
0.6965728024157739,0.2339476947601572,0.3644022311045826,0
0.4107176876476233,0.7518578500038294,0.9868088543170855,1
0.14784663400196496,0.7011758819041026,0.43024347214573067,1
0.9331398160345322,0.6993049257366064,0.6318939586036221,1
0.823077909360158,0.4363767379950263,0.05068125564361914,1
0.2335161605732441,0.4797474491224447,0.5916021023090055,0
0.07838970406625323,0.9211110934324563,0.3189751614863088,1
0.6874290257802087,0.7693936210173425,0.69632466150508,0
0.2859778125161728,0.5341695692340486,0.3614448912120449,1
0.11230904615128867,0.17845017692024667,0.528605735408717,1
0.9980418020247401,0.9387440256020672,0.4661998293833399,1
0.5754089182485848,0.7556754163971736,0.6260080815379757,0
0.8707916593555797,0.19968729861699563,0.8943438945893288,0
0.9790167217938031,0.3667913513984108,0.6354051140238436,0
0.020702976279545426,0.05308415523381993,0.8607092688220875,1
0.9281086526764185,0.445428147947332,0.29271296670850444,0
0.6519958509840749,0.4236382975678755,0.9730829420720494,0
0.7560344250804364,0.4339228698685581,0.9615159042757104,0
0.3219557181212913,0.5105041512735565,0.20746993059713137,1
0.1327382246093911,0.5637459745714304,0.4589137245259326,1
0.1217101375574362,0.6881207403931727,0.41324248544113507,1
0.8400291294822105,0.9341847632219136,0.2981200888891863,1
0.5179739583233983,0.18395820310062694,0.6498780697886855,0
0.6683524206150233,0.7768131971574308,0.965060995959212,0
0.4633430832160409,0.643277669367258,0.8172514062089911,0
0.38756396527672543,0.07473897871586122,0.8091864939952876,1
0.3078890670445704,0.7718579971160504,0.6054000918270337,1
0.5730496455876348,0.11384410111601984,0.07491529459625723,0
0.2058331341980495,0.5610204165058089,0.01331234565290973,0
0.7091214271188577,0.8895323019586325,0.4283111721553423,1
0.9598662956662478,0.19370226676715196,0.7720808451624698,0
0.17836257444761572,0.9030191853628944,0.36684061425635406,0
0.5549545576708764,0.46013175017084695,0.6163524966093572,0
0.6991367744268054,0.6578235786451856,0.6520543978383996,1
0.7759244317556823,0.15262742562111264,0.1639609289602444,0
0.5392441512338376,0.5685194825403637,0.9429787805450294,0
0.9035527925680281,0.4680722852619702,0.32195341833466806,1
